City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Port Blair,IN,2022-04-17 13:57:38,11.6667,92.75,84.24,74,40,1.14
70,New Norfolk,AU,2022-04-17 13:54:19,-42.7826,147.0587,65.7,60,100,1.01
71,Tuktoyaktuk,CA,2022-04-17 13:57:39,69.4541,-133.0374,-0.4,71,75,8.05
72,Puerto Del Rosario,ES,2022-04-17 13:57:39,28.5004,-13.8627,80.35,47,20,9.22
73,La Ronge,CA,2022-04-17 13:53:38,55.1001,-105.2842,19.65,73,40,1.14
74,Avarua,CK,2022-04-17 13:52:45,-21.2078,-159.775,77.05,88,40,3.44
75,Beya,RU,2022-04-17 13:57:39,53.0533,90.9139,54.34,58,61,7.09
76,Port Alfred,ZA,2022-04-17 13:57:40,-33.5906,26.891,69.19,75,93,6.96
77,Hisai,JP,2022-04-17 13:57:40,34.6667,136.4667,55.89,94,100,2.73
78,Muros,ES,2022-04-17 13:57:41,42.7762,-9.0603,69.67,63,87,14.36
79,Atuona,PF,2022-04-17 13:52:49,-9.8,-139.0333,79.2,76,59,17.65
80,Ostrovnoy,RU,2022-04-17 13:57:41,68.0531,39.5131,34.59,97,100,24.18
81,Eureka,US,2022-04-17 13:55:16,40.8021,-124.1637,39.67,79,100,3.67
82,Evensk,RU,2022-04-17 13:57:42,61.95,159.2333,25.21,86,100,9.08
83,Poum,NC,2022-04-17 13:57:42,-20.2333,164.0167,78.33,62,70,2.3
84,Pierre,US,2022-04-17 13:54:06,44.3683,-100.351,35.06,66,100,19.57
85,Chara,RU,2022-04-17 13:57:43,56.9064,118.2631,25.36,89,100,3.83
86,Kalmar,SE,2022-04-17 13:57:43,56.6616,16.3616,53.53,54,0,8.05
87,Mana,GF,2022-04-17 13:57:43,5.6592,-53.7767,82.24,70,63,8.79
88,Grootfontein,NA,2022-04-17 13:57:44,-19.5667,18.1167,80.17,47,99,4.61
89,Boa Vista,BR,2022-04-17 13:57:44,2.8197,-60.6733,85.98,58,40,17.27
90,Faya,SA,2022-04-17 13:57:44,18.3851,42.4509,77.11,39,67,7.27
91,Tiksi,RU,2022-04-17 13:57:45,71.6872,128.8694,-5.8,98,58,3.76
92,Cherskiy,RU,2022-04-17 13:57:45,68.75,161.3,-0.22,98,100,6.08
93,Norman Wells,CA,2022-04-17 13:57:45,65.282,-126.8329,-16.56,76,20,3.44
94,Kushiro,JP,2022-04-17 13:54:36,42.975,144.3747,41.25,85,97,10.78
95,Kokkola,FI,2022-04-17 13:57:46,63.8385,23.1307,46.56,75,0,6.91
96,Ambunti,PG,2022-04-17 13:57:46,-4.2365,142.8448,75.54,97,100,2.42
97,Maldonado,UY,2022-04-17 13:53:26,-34.6667,-54.9167,66.22,64,100,4.76
98,Umm Lajj,SA,2022-04-17 13:57:47,25.0213,37.2685,84.47,44,84,4.47
99,Porto Velho,BR,2022-04-17 13:57:47,-8.7619,-63.9039,84.25,70,40,4.61
100,Kahului,US,2022-04-17 13:53:27,20.8947,-156.47,73.85,83,75,10.36
101,Soyo,AO,2022-04-17 13:57:48,-6.1349,12.3689,83.64,75,90,10.25
102,Constitucion,CL,2022-04-17 13:57:48,-35.3333,-72.4167,60.48,61,65,2.59
103,Mogadishu,SO,2022-04-17 13:54:03,2.0371,45.3438,89.47,74,20,16.11
104,Hofn,IS,2022-04-17 13:57:49,64.2539,-15.2082,46.45,86,27,9.89
105,Lebu,CL,2022-04-17 13:57:49,-37.6167,-73.65,56.44,88,100,6.76
106,Ilulissat,GL,2022-04-17 13:57:49,69.2167,-51.1,2.66,84,28,4.14
107,Jalu,LY,2022-04-17 13:57:50,29.0331,21.5482,84.74,25,0,18.32
108,Kamenka,RU,2022-04-17 13:57:50,51.3223,42.7678,55.92,65,100,6.53
109,Sterling,US,2022-04-17 13:57:50,39.0062,-77.4286,52.95,47,40,15.01
110,Zhangye,CN,2022-04-17 13:57:51,38.9342,100.4517,48.74,27,37,4.47
111,Hammerfest,NO,2022-04-17 13:57:51,70.6634,23.6821,41.45,100,75,20.71
112,Virginia Beach,US,2022-04-17 13:55:11,36.8529,-75.978,58.05,68,75,16.11
113,Kaitangata,NZ,2022-04-17 13:54:00,-46.2817,169.8464,44.22,93,4,4.03
114,Bathsheba,BB,2022-04-17 13:57:52,13.2167,-59.5167,79.41,78,75,13.8
115,Hithadhoo,MV,2022-04-17 13:57:52,-0.6,73.0833,83.53,74,82,7.09
116,Banyo,CM,2022-04-17 13:57:52,6.75,11.8167,85.42,42,56,5.32
117,Guerrero Negro,MX,2022-04-17 13:57:53,27.9769,-114.0611,59.2,88,23,11.32
118,Henties Bay,NA,2022-04-17 13:57:53,-22.116,14.2845,65.73,70,31,12.12
119,Zachary,US,2022-04-17 13:57:53,30.6485,-91.1565,75.74,97,75,0.0
120,Khatanga,RU,2022-04-17 13:57:54,71.9667,102.5,16.05,95,100,10.98
121,Kruisfontein,ZA,2022-04-17 13:57:54,-34.0033,24.7314,67.89,59,61,9.17
122,Sao Felix Do Xingu,BR,2022-04-17 13:57:54,-6.6447,-51.995,83.62,73,93,0.34
123,Iwanai,JP,2022-04-17 13:57:55,42.9744,140.5089,40.21,85,71,5.57
124,Lebedinyy,RU,2022-04-17 13:57:55,58.5167,125.5167,15.39,82,100,10.13
125,Norton Shores,US,2022-04-17 13:57:55,43.1689,-86.2639,34.99,53,1,5.99
126,Teguise,ES,2022-04-17 13:57:56,29.0605,-13.564,70.02,68,100,9.22
127,Palu,ID,2022-04-17 13:57:56,-0.8917,119.8707,76.78,95,98,2.57
128,Tasiilaq,GL,2022-04-17 13:57:56,65.6145,-37.6368,34.03,100,100,1.88
129,Shingu,JP,2022-04-17 13:57:57,33.7333,135.9833,58.33,89,83,7.56
130,Souillac,MU,2022-04-17 13:57:57,-20.5167,57.5167,79.18,94,75,5.75
131,Kantang,TH,2022-04-17 13:57:57,7.4054,99.5156,78.89,100,40,2.3
132,Bethel,US,2022-04-17 13:54:26,41.3712,-73.414,45.46,55,3,10.0
133,Rodrigues Alves,BR,2022-04-17 13:57:58,-7.738,-72.6509,73.6,68,4,3.91
134,Luanda,AO,2022-04-17 13:57:58,-8.8368,13.2343,84.2,70,20,13.8
135,Antalaha,MG,2022-04-17 13:57:59,-14.9003,50.2788,80.46,78,5,12.97
136,Quelimane,MZ,2022-04-17 13:57:59,-17.8786,36.8883,80.82,77,34,8.03
137,Oistins,BB,2022-04-17 13:56:48,13.0667,-59.5333,78.89,78,75,13.8
138,Sovetskiy,RU,2022-04-17 13:57:59,61.3614,63.5842,31.1,68,57,6.91
139,Matara,LK,2022-04-17 13:58:00,5.9485,80.5353,80.94,80,59,5.14
140,Port Pirie,AU,2022-04-17 13:58:00,-33.1833,138.0167,66.29,77,100,9.33
141,Broome,US,2022-04-17 13:58:00,42.2506,-75.833,36.46,67,75,13.8
142,Orlat,RO,2022-04-17 13:58:01,45.75,23.9667,38.43,87,75,1.14
143,Mangrol,IN,2022-04-17 13:58:01,21.1167,70.1167,82.24,69,0,8.81
144,Dingle,PH,2022-04-17 13:58:01,10.9995,122.6711,77.32,86,62,6.55
145,Pevek,RU,2022-04-17 13:58:02,69.7008,170.3133,-0.87,96,100,3.53
