City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
198,Tigil,RU,57.8,158.6667,25.63,82,98,7.7,overcast clouds,2022-04-17 00:30:33
199,Gushikawa,JP,26.3544,127.8686,67.23,68,100,6.91,overcast clouds,2022-04-17 00:30:33
200,Gondanglegi,ID,-7.7479,112.0132,82.18,77,70,4.74,broken clouds,2022-04-17 00:30:34
201,Gamba,GA,-2.65,10.0,76.46,92,48,2.93,light rain,2022-04-17 00:30:34
202,Nauchnyy Gorodok,RU,53.4203,83.521,52.66,21,0,11.18,clear sky,2022-04-17 00:30:34
203,Pathein,MM,16.7833,94.7333,79.77,84,8,4.5,clear sky,2022-04-17 00:27:09
204,Washington,US,47.5001,-120.5015,47.05,45,100,4.63,overcast clouds,2022-04-17 00:26:52
205,Yuli,NG,9.6989,10.2744,84.0,56,78,4.27,broken clouds,2022-04-17 00:30:35
206,Nouadhibou,MR,20.931,-17.0347,64.38,88,75,11.5,broken clouds,2022-04-17 00:30:35
207,Port-Gentil,GA,-0.7193,8.7815,80.96,80,100,5.5,overcast clouds,2022-04-17 00:30:36
208,Dunda,TZ,-8.1167,34.25,61.66,96,95,1.61,overcast clouds,2022-04-17 00:30:36
209,Conakry,GN,9.538,-13.6773,78.87,78,0,4.61,clear sky,2022-04-17 00:30:36
210,Jinji,CN,23.2281,110.8261,57.25,91,100,4.18,overcast clouds,2022-04-17 00:30:37
211,Przasnysz,PL,53.0191,20.8803,34.38,86,100,7.14,overcast clouds,2022-04-17 00:30:37
212,San Policarpo,PH,12.1791,125.5072,81.27,79,97,6.29,overcast clouds,2022-04-17 00:30:37
213,Lobez,PL,53.6392,15.6213,33.69,76,100,2.91,overcast clouds,2022-04-17 00:30:38
214,Andilamena,MG,-17.0167,48.5833,63.73,89,58,7.47,broken clouds,2022-04-17 00:30:38
215,Hofn,IS,64.2539,-15.2082,46.17,98,97,6.71,overcast clouds,2022-04-17 00:30:39
216,Kavieng,PG,-2.5744,150.7967,83.79,74,36,9.82,light rain,2022-04-17 00:27:00
217,Mount Gambier,AU,-37.8333,140.7667,73.31,33,75,18.41,broken clouds,2022-04-17 00:30:39
218,Milkovo,RU,54.7167,158.6167,31.66,49,100,6.2,overcast clouds,2022-04-17 00:30:39
219,Lyuban,BY,52.7985,28.0048,33.12,84,67,12.46,broken clouds,2022-04-17 00:30:40
220,Ginda,IN,30.6945,78.4932,54.9,33,0,7.49,clear sky,2022-04-17 00:30:40
221,Tuatapere,NZ,-46.1333,167.6833,56.01,54,100,2.77,overcast clouds,2022-04-17 00:30:40
222,San Rafael,AR,-34.6177,-68.3301,63.27,41,2,6.2,clear sky,2022-04-17 00:30:41
223,Talnakh,RU,69.4865,88.3972,14.54,94,100,15.03,overcast clouds,2022-04-17 00:30:41
224,Kuruman,ZA,-27.4524,23.4325,56.8,80,95,13.71,overcast clouds,2022-04-17 00:30:41
225,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,90,98,8.7,overcast clouds,2022-04-17 00:30:42
226,Alihe,CN,50.5667,123.7167,37.49,36,13,7.61,few clouds,2022-04-17 00:30:42
227,Waipawa,NZ,-41.4122,175.5153,56.28,59,19,8.5,few clouds,2022-04-17 00:30:42
228,Yumen,CN,40.2833,97.2,44.55,26,0,6.15,clear sky,2022-04-17 00:30:43
229,Alice Town,BS,25.7167,-79.3,78.42,70,0,16.58,clear sky,2022-04-17 00:30:43
230,Dzialdowo,PL,53.2396,20.17,32.56,85,100,7.38,overcast clouds,2022-04-17 00:30:43
231,Leningradskiy,RU,69.3833,178.4167,13.64,88,96,9.17,overcast clouds,2022-04-17 00:30:44
232,Mugur-Aksy,RU,50.35,90.5,36.9,35,1,4.63,clear sky,2022-04-17 00:30:44
233,Christchurch,NZ,-43.5333,172.6333,56.95,86,100,11.5,overcast clouds,2022-04-17 00:30:44
234,Santa Maria,BR,-29.6842,-53.8069,58.3,88,40,4.61,scattered clouds,2022-04-17 00:30:45
235,Kaitangata,NZ,-46.2817,169.8464,54.99,55,73,9.1,broken clouds,2022-04-17 00:30:45
236,Batagay,RU,67.6333,134.6333,16.36,85,100,2.15,overcast clouds,2022-04-17 00:30:46
237,Jurm,AF,36.8648,70.8342,59.13,38,100,4.92,overcast clouds,2022-04-17 00:30:46
238,Saint-Leu,RE,-21.15,55.2833,76.06,76,8,2.48,clear sky,2022-04-17 00:30:46
239,Vatava,RO,46.9667,24.7667,35.02,87,100,6.6,light snow,2022-04-17 00:30:47
240,Payo,ID,-3.7508,103.6372,75.09,97,100,1.25,overcast clouds,2022-04-17 00:30:47
241,Krasnoselkup,RU,65.7,82.4667,17.33,93,100,16.67,overcast clouds,2022-04-17 00:30:47
242,Vanavara,RU,60.34,102.2797,41.41,93,100,10.89,overcast clouds,2022-04-17 00:30:48
243,Sorland,NO,67.667,12.6934,42.21,98,100,20.74,light rain,2022-04-17 00:30:48
244,Saint George,US,37.1041,-113.5841,76.24,14,0,26.46,clear sky,2022-04-17 00:30:48
245,Provideniya,RU,64.3833,-173.3,32.74,93,98,11.52,light snow,2022-04-17 00:30:49
246,Nova Venecia,BR,-18.7106,-40.4006,71.4,78,100,5.3,overcast clouds,2022-04-17 00:30:49
247,Suclayin,PH,15.7568,121.5503,81.99,73,14,3.67,few clouds,2022-04-17 00:30:49
248,Auki,SB,-8.7676,160.7034,85.77,64,93,3.4,overcast clouds,2022-04-17 00:30:50
249,Rocha,UY,-34.4833,-54.3333,54.28,90,0,1.86,clear sky,2022-04-17 00:30:50
250,Gigmoto,PH,13.7796,124.39,80.82,80,82,6.91,broken clouds,2022-04-17 00:30:50
251,Zilair,RU,52.2332,57.4392,32.41,86,6,2.39,clear sky,2022-04-17 00:30:51
