City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Meulaboh,ID,78.1,scattered clouds,4.1363,96.1285,Kost Pria
105,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
111,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
112,Pemangkat,ID,78.93,overcast clouds,1.1667,108.9667,Ramah Kost KITA
113,Puerto Maldonado,PE,75.6,broken clouds,-12.6,-69.1833,Wasai Hotel
114,Tuxpan,MX,78.57,overcast clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
116,Namatanai,PG,83.48,light rain,-3.6667,152.4333,Seagulls Inn Namatani
119,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
121,Cabo San Lucas,MX,86.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
129,Cairns,AU,84.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
132,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Daru,PG,85.98,broken clouds,-9.0763,143.2092,Daru Lodge
136,Puerto Ayora,EC,75.52,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Savalou,BJ,78.28,broken clouds,7.9281,1.9756,Hotel F&F
138,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
139,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
143,Gizo,SB,82.18,light rain,-8.103,156.8419,Imagination Island
144,Iracoubo,GF,78.01,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
147,Sonoita,MX,82.89,clear sky,31.85,-112.8333,Hotel internacional
148,Kyaukse,MM,84.2,scattered clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
156,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
159,Mahebourg,MU,77.25,shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Cabano,PH,82.54,overcast clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
172,Broken Hill,AU,78.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
175,Salinopolis,BR,78.42,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
185,Biloela,AU,79.12,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
187,San Patricio,US,84.29,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
193,Mayumba,GA,77.07,light rain,-3.432,10.6554,LIKWALE LODGE
195,Kousseri,CM,89.2,overcast clouds,12.0769,15.0306,Le Pilotis
197,Bengkulu,ID,80.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Gondanglegi,ID,82.18,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
203,Pathein,MM,79.77,clear sky,16.7833,94.7333,Pathein Hotel
207,Port-Gentil,GA,80.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
209,Conakry,GN,78.87,clear sky,9.538,-13.6773,Riviera Royal Hotel
212,San Policarpo,PH,81.27,overcast clouds,12.1791,125.5072,Agapita M. Nicart
